Frequent Subgraph Patterns (CMine Output):
Subgraph IDs: {'55'} | Coverage: 0.99
Subgraph IDs: {'7'} | Coverage: 0.98
Subgraph IDs: {'8'} | Coverage: 0.98
Subgraph IDs: {'9'} | Coverage: 0.98
Subgraph IDs: {'0'} | Coverage: 0.97
Subgraph IDs: {'85'} | Coverage: 0.96
Subgraph IDs: {'48'} | Coverage: 0.96
Subgraph IDs: {'38'} | Coverage: 0.96
Subgraph IDs: {'56'} | Coverage: 0.93
Subgraph IDs: {'72'} | Coverage: 0.93
Subgraph IDs: {'59'} | Coverage: 0.91
Subgraph IDs: {'2'} | Coverage: 0.89
Subgraph IDs: {'10'} | Coverage: 0.87
Subgraph IDs: {'44'} | Coverage: 0.83
Subgraph IDs: {'35'} | Coverage: 0.81
Subgraph IDs: {'45'} | Coverage: 0.80
Subgraph IDs: {'36'} | Coverage: 0.79
Subgraph IDs: {'5'} | Coverage: 0.78
Subgraph IDs: {'11'} | Coverage: 0.77
Subgraph IDs: {'86'} | Coverage: 0.77
Subgraph IDs: {'49'} | Coverage: 0.77
Subgraph IDs: {'61'} | Coverage: 0.77
Subgraph IDs: {'39'} | Coverage: 0.76
Subgraph IDs: {'77'} | Coverage: 0.75
Subgraph IDs: {'74'} | Coverage: 0.74
Subgraph IDs: {'62'} | Coverage: 0.74
Subgraph IDs: {'57'} | Coverage: 0.73
Subgraph IDs: {'29'} | Coverage: 0.73
Subgraph IDs: {'12'} | Coverage: 0.73
Subgraph IDs: {'3'} | Coverage: 0.73
Subgraph IDs: {'58'} | Coverage: 0.71
Subgraph IDs: {'30'} | Coverage: 0.70
Subgraph IDs: {'31'} | Coverage: 0.69
Subgraph IDs: {'82'} | Coverage: 0.68
Subgraph IDs: {'64'} | Coverage: 0.68
Subgraph IDs: {'32'} | Coverage: 0.66
Subgraph IDs: {'92'} | Coverage: 0.64
Subgraph IDs: {'65'} | Coverage: 0.64
Subgraph IDs: {'87'} | Coverage: 0.63
Subgraph IDs: {'89'} | Coverage: 0.63
Subgraph IDs: {'51'} | Coverage: 0.62
Subgraph IDs: {'67'} | Coverage: 0.61
Subgraph IDs: {'41'} | Coverage: 0.61
Subgraph IDs: {'78'} | Coverage: 0.61
Subgraph IDs: {'75'} | Coverage: 0.61
Subgraph IDs: {'33'} | Coverage: 0.61
Subgraph IDs: {'22'} | Coverage: 0.60
Subgraph IDs: {'88'} | Coverage: 0.60
Subgraph IDs: {'27'} | Coverage: 0.60
Subgraph IDs: {'52'} | Coverage: 0.59
Subgraph IDs: {'34'} | Coverage: 0.59
Subgraph IDs: {'50'} | Coverage: 0.58
Subgraph IDs: {'28'} | Coverage: 0.58
Subgraph IDs: {'23'} | Coverage: 0.58
Subgraph IDs: {'76'} | Coverage: 0.57
Subgraph IDs: {'69'} | Coverage: 0.57
Subgraph IDs: {'24'} | Coverage: 0.57
Subgraph IDs: {'68'} | Coverage: 0.57
Subgraph IDs: {'81'} | Coverage: 0.56
Subgraph IDs: {'1'} | Coverage: 0.56
Subgraph IDs: {'42'} | Coverage: 0.56
Subgraph IDs: {'40'} | Coverage: 0.56
Subgraph IDs: {'20'} | Coverage: 0.56
Subgraph IDs: {'25'} | Coverage: 0.55
Subgraph IDs: {'63'} | Coverage: 0.54
Subgraph IDs: {'6'} | Coverage: 0.54
Subgraph IDs: {'66'} | Coverage: 0.54
Subgraph IDs: {'71'} | Coverage: 0.54
Subgraph IDs: {'83'} | Coverage: 0.54
Subgraph IDs: {'21'} | Coverage: 0.54
Subgraph IDs: {'70'} | Coverage: 0.54
Subgraph IDs: {'79'} | Coverage: 0.54
Subgraph IDs: {'84'} | Coverage: 0.54
Subgraph IDs: {'18'} | Coverage: 0.54
Subgraph IDs: {'73'} | Coverage: 0.53
Subgraph IDs: {'16'} | Coverage: 0.53
Subgraph IDs: {'14'} | Coverage: 0.53
Subgraph IDs: {'46'} | Coverage: 0.52
Subgraph IDs: {'19'} | Coverage: 0.52
Subgraph IDs: {'60'} | Coverage: 0.52
Subgraph IDs: {'90'} | Coverage: 0.52
Subgraph IDs: {'93'} | Coverage: 0.52
Subgraph IDs: {'37'} | Coverage: 0.51
Subgraph IDs: {'13'} | Coverage: 0.51
Subgraph IDs: {'53'} | Coverage: 0.51
Subgraph IDs: {'91'} | Coverage: 0.51
Subgraph IDs: {'17'} | Coverage: 0.51
Subgraph IDs: {'15'} | Coverage: 0.51
Subgraph IDs: {'47'} | Coverage: 0.51
Subgraph IDs: {'54'} | Coverage: 0.51
Subgraph IDs: {'26'} | Coverage: 0.51
Subgraph IDs: {'43'} | Coverage: 0.51
Subgraph IDs: {'4'} | Coverage: 0.50
Subgraph IDs: {'80'} | Coverage: 0.50
